1.3.6.1.4.1.164.6.1.15.2.6.1.1,1.3.6.1.4.1.164.6.1.15.2.7.1.1,1.3.6.1.4.1.164.6.1.15.2.7.1.2,1.3.6.1.4.1.164.6.1.15.2.8.1.1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
twampControllerId,twampPeerAddrType,twampPeerAddr,twampContSessionId,twampReportCurrentStartDateAndTime,twampReportCurrentElapsedTime,twampReportCurrentTxPackets,twampReportCurrentRxValidPackets,twampReportCurrentLossPackets,twampReportCurrentAvailableSeconds,twampReportCurrentDelayMin,twampReportCurrentDelayMax,twampReportCurrentDelaySum,twampReportCurrentDelayAverage,twampReportCurrentDelayedPackets,twampReportCurrentPdvMax,twampReportCurrentIpdvMax,twampReportCurrentIpdvSum,twampReportCurrentIpdvValidResults,twampReportCurrentIpdvFwdMax,twampReportCurrentIpdvFwdSum,twampReportCurrentIpdvFwdValidResults,twampReportCurrentIpdvBckMax,twampReportCurrentIpdvBckSum,twampReportCurrentIpdvBckValidResults,twampReportCurrentReorderedFwd,twampReportCurrentReorderedBck,twampReportCurrentDuplicateFwd,twampReportCurrentDuplicateBck,twampReportCurrentFragmentedFwd,twampReportCurrentFragmentedBck,twampReportCurrentDelayFwdMin,twampReportCurrentDelayFwdMax,twampReportCurrentDelayFwdSum,twampReportCurrentDelayBckMin,twampReportCurrentDelayBckMax,twampReportCurrentDelayBckSum,twampReportCurrentDelayedPacketsFwd,twampReportCurrentDelayedPacketsBck,twampReportCurrentPdvMaxFwd,twampReportCurrentPdvMaxBck,twampReportCurrentTxPacketsFwd,twampReportCurrentTxPacketsBck,twampReportCurrentRxValidPacketsFwd,twampReportCurrentRxValidPacketsBck,twampReportCurrentLossPacketsFwd,twampReportCurrentLossPacketsBck,twampReportCurrentAvailableSecondsFwd,twampReportCurrentAvailableSecondsBck,twampReportCurrentRxSyncValidPacketsFwd,twampReportCurrentRxSyncValidPacketsBck,twampReportCurrentSyncSeconds,twampReportCurrentReordered,twampReportCurrentDuplicate
1,1,0x0A0A0A0B,1,0x07E6091D090F00062B0000,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,18446744073709551615,4294967295,4294967295,18446744073709551615,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,18446744073709551615,18446744073709551615,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: Just-Ended,Interval Length (Seconds): 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: About-To-Begin,Interval Length (Seconds): 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radOamIdx1,radOamEvcIdx,radMepIdx,ethOamServiceIdx,ethOamDestNeIdx,ethOamDestNeTxFrames,ethOamDestNeOverflowTxFrames,ethOamDestNeTxLmm,ethOamDestNeOverflowTxLmm,ethOamDestNeTxDmm,ethOamDestNeOverflowTxDmm,ethOamDestNeRxLmr,ethOamDestNeOverflowRxLmr,ethOamDestNeFarEndFrameLoss,ethOamDestNeOverflowFarEndFrameLoss,ethOamDestNeFarEndFrameLossRatio,ethOamDestNeTimeElapsed,ethOamDestNeFramesAboveDelay,ethOamDestNeOverflowFramesAboveDelay,ethOamDestNeFramesAboveDelayVar,ethOamDestNeOverflowFramesAboveDelayVar,ethOamDestNeCurrentDelay,ethOamDestNeNearEndFrameLoss,ethOamDestNeOverflowNearEndFrameLoss,ethOamDestNeNearEndFrameLossRatio,ethOamDestNeTxForward,,ethOamDestNeRxForward,ethOamDestNeOverflowRxForward,ethOamDestNeTxBackward,,ethOamDestNeRxBackward,ethOamDestNeOverflowRxBackward,ethOamDestNeUnavailableIndForward,ethOamDestNeOverflowUnavailableIndForward,ethOamDestNeUnavailableIndBackward,ethOamDestNeOverflowUnavailableIndBackward,ethOamDestNeUnavailRatioForward,ethOamDestNeUnavailRatioBackward,,,,,,,,,,,,,,,
1,1,101,1,1,0,0,0,0,0,0,0,0,0,0,0,588960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588960,0,588960,0,4294967295,4294967295,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethOamSvcCurrentStatTable,1.3.6.1.4.1.164.3.1.6.1.3.2.2.1,2022/09/29 09:24:59 +00:00,9/29/2022 9:24,4471248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.6.1.4.1.164.3.1.6.1.3.1.1.1,1.3.6.1.4.1.164.3.1.6.1.3.1.1.2,1.3.6.1.4.1.164.3.1.6.1.3.1.1.3,1.3.6.1.4.1.164.3.1.6.1.3.2.1.1.1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,,,,,,,,,,,,,,
radOamIdx1,radOamEvcIdx,radMepIdx,ethOamServiceIdx,ethOamSvcCurrFramesAboveDelayThresh,ethOamSvcCurrFramesBelowDelayThresh,ethOamSvcCurrFramesAboveDVarThresh,ethOamSvcCurrFramesBelowDVarThresh,ethOamSvcCurrFramesTxCounter,ethOamSvcCurrFarEndFramesLossCounter,ethOamSvcCurrMinRoundTripDelay,ethOamSvcCurrMaxRoundTripDelay,ethOamSvcCurrAvgRoundTripDelay,ethOamSvcCurrMaxRoundTripDVar,ethOamSvcCurrAvgRoundTripDVar,ethOamSvcCurrElapsedTime,ethOamSvcCurrUnavailSec,ethOamSvcCurrLmmTxFrames,ethOamSvcCurrDmmTxFrames,ethOamSvcCurrLmrRxFrames,ethOamSvcCurrDmrRxFrames,ethOamSvcCurrNearEndFramesLossCounter,ethOamSvcCurrTxFramesForward,ethOamSvcCurrRxFramesForward,ethOamSvcCurrTxFramesBackward,ethOamSvcCurrRxFramesBackward,ethOamSvcCurrUnavailableIndForward,ethOamSvcCurrUnavailableIndBackward,ethOamSvcCurrNearEndFrameLossRatio,ethOamSvcCurrFarEndFrameLossRatio,ethOamSvcCurrMinRoundTripDVar,ethOamSvcCurrMinForwardDelay,ethOamSvcCurrMaxForwardDelay,ethOamSvcCurrAvgForwardDelay,ethOamSvcCurrMinForwardDVar,ethOamSvcCurrMaxForwardDVar,ethOamSvcCurrAvgForwardDVar,ethOamSvcCurrMinBackwardDVar,ethOamSvcCurrMaxBackwardDVar,ethOamSvcCurrAvgBackwardDVar,,,,,,,,,,,,,,
1,1,101,1000001,0,0,0,0,0,0,0,0,0,0,0,600,600,0,0,0,0,0,0,0,0,0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: Just-Ended,Interval Length (Seconds): 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: About-To-Begin,Interval Length (Seconds): 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twampReportCurrentTable,1.3.6.1.4.1.164.6.1.15.3.9.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.6.1.4.1.164.6.1.15.2.6.1.1,1.3.6.1.4.1.164.6.1.15.2.7.1.1,1.3.6.1.4.1.164.6.1.15.2.7.1.2,1.3.6.1.4.1.164.6.1.15.2.8.1.1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
twampControllerId,twampPeerAddrType,twampPeerAddr,twampContSessionId,twampReportCurrentStartDateAndTime,twampReportCurrentElapsedTime,twampReportCurrentTxPackets,twampReportCurrentRxValidPackets,twampReportCurrentLossPackets,twampReportCurrentAvailableSeconds,twampReportCurrentDelayMin,twampReportCurrentDelayMax,twampReportCurrentDelaySum,twampReportCurrentDelayAverage,twampReportCurrentDelayedPackets,twampReportCurrentPdvMax,twampReportCurrentIpdvMax,twampReportCurrentIpdvSum,twampReportCurrentIpdvValidResults,twampReportCurrentIpdvFwdMax,twampReportCurrentIpdvFwdSum,twampReportCurrentIpdvFwdValidResults,twampReportCurrentIpdvBckMax,twampReportCurrentIpdvBckSum,twampReportCurrentIpdvBckValidResults,twampReportCurrentReorderedFwd,twampReportCurrentReorderedBck,twampReportCurrentDuplicateFwd,twampReportCurrentDuplicateBck,twampReportCurrentFragmentedFwd,twampReportCurrentFragmentedBck,twampReportCurrentDelayFwdMin,twampReportCurrentDelayFwdMax,twampReportCurrentDelayFwdSum,twampReportCurrentDelayBckMin,twampReportCurrentDelayBckMax,twampReportCurrentDelayBckSum,twampReportCurrentDelayedPacketsFwd,twampReportCurrentDelayedPacketsBck,twampReportCurrentPdvMaxFwd,twampReportCurrentPdvMaxBck,twampReportCurrentTxPacketsFwd,twampReportCurrentTxPacketsBck,twampReportCurrentRxValidPacketsFwd,twampReportCurrentRxValidPacketsBck,twampReportCurrentLossPacketsFwd,twampReportCurrentLossPacketsBck,twampReportCurrentAvailableSecondsFwd,twampReportCurrentAvailableSecondsBck,twampReportCurrentRxSyncValidPacketsFwd,twampReportCurrentRxSyncValidPacketsBck,twampReportCurrentSyncSeconds,twampReportCurrentReordered,twampReportCurrentDuplicate
1,1,0x0A0A0A0B,1,0x07E6091D090F00062B0000,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,18446744073709551615,4294967295,4294967295,18446744073709551615,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,18446744073709551615,18446744073709551615,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: Just-Ended,Interval Length (Seconds): 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: About-To-Begin,Interval Length (Seconds): 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifTable,1.3.6.1.2.1.2.2.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,8,10,11,13,14,15,16,17,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifIndex,ifSpeed,ifOperStatus,ifInOctets,ifInUcastPkts,ifInDiscards,ifInErrors,ifInUnknownProtos,ifOutOctets,ifOutUcastPkts,ifOutDiscards,ifOutErrors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101769216,1000000000,1,2734084992,4081446311,20143324,0,20143324,1219761492,4062346251,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etherStatsTable,1.3.6.1.2.1.16.1.1.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etherStatsIndex,etherStatsCRCAlignErrors,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts1024to1518Octets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101769216,0,0,0,4081446311,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifXTable,1.3.6.1.2.1.31.1.1.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.6.1.2.1.2.2.1.1,2,3,4,5,6,7,8,9,10,11,12,13,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifIndex,ifInMulticastPkts,ifInBroadcastPkts,ifOutMulticastPkts,ifOutBroadcastPkts,ifHCInOctets,ifHCInUcastPkts,ifHCInMulticastPkts,ifHCInBroadcastPkts,ifHCOutOctets,ifHCOutUcastPkts,ifHCOutMulticastPkts,ifHCOutBroadcastPkts,ifHighSpeed,ifCounterDiscontinuityTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101769216,0,0,0,0,2.72145E+12,21261315495,0,0,2.63403E+12,21242215435,0,0,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethIfStatsTable,1.3.6.1.4.1.164.3.1.6.1.2.5.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.6.1.2.1.2.2.1.1,2,26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifIndex,ethIfStatsInPkts,ethIfStatsOutPkts,ethIfStatsInUnMappedCosFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101769216,21261315495,21242215435,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifTable,1.3.6.1.2.1.2.2.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,8,10,11,13,14,15,16,17,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifIndex,ifSpeed,ifOperStatus,ifInOctets,ifInUcastPkts,ifInDiscards,ifInErrors,ifInUnknownProtos,ifOutOctets,ifOutUcastPkts,ifOutDiscards,ifOutErrors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101777408,1000000000,1,2922842752,4082920981,20142302,0,20142302,713091640,1599290828,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etherStatsTable,1.3.6.1.2.1.16.1.1.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etherStatsIndex,etherStatsCRCAlignErrors,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts1024to1518Octets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101777408,0,0,0,4082920981,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifXTable,1.3.6.1.2.1.31.1.1.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.6.1.2.1.2.2.1.1,2,3,4,5,6,7,8,9,10,11,12,13,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifIndex,ifInMulticastPkts,ifInBroadcastPkts,ifOutMulticastPkts,ifOutBroadcastPkts,ifHCInOctets,ifHCInUcastPkts,ifHCInMulticastPkts,ifHCInBroadcastPkts,ifHCOutOctets,ifHCOutUcastPkts,ifHCOutMulticastPkts,ifHCOutBroadcastPkts,ifHighSpeed,ifCounterDiscontinuityTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101777408,0,0,595048,0,2.72164E+12,21262790165,0,0,7.78102E+11,5894258124,595048,0,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethIfStatsTable,1.3.6.1.4.1.164.3.1.6.1.2.5.1,2022/09/29 09:25:59 +00:00,9/29/2022 9:25,4471309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.6.1.2.1.2.2.1.1,2,26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifIndex,ethIfStatsInPkts,ethIfStatsOutPkts,ethIfStatsInUnMappedCosFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101777408,21262790165,5894853172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: Just-Ended,Interval Length (Seconds): 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: About-To-Begin,Interval Length (Seconds): 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twampReportCurrentTable,1.3.6.1.4.1.164.6.1.15.3.9.1,2022/09/29 09:26:59 +00:00,9/29/2022 9:26,4471368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.6.1.4.1.164.6.1.15.2.6.1.1,1.3.6.1.4.1.164.6.1.15.2.7.1.1,1.3.6.1.4.1.164.6.1.15.2.7.1.2,1.3.6.1.4.1.164.6.1.15.2.8.1.1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
twampControllerId,twampPeerAddrType,twampPeerAddr,twampContSessionId,twampReportCurrentStartDateAndTime,twampReportCurrentElapsedTime,twampReportCurrentTxPackets,twampReportCurrentRxValidPackets,twampReportCurrentLossPackets,twampReportCurrentAvailableSeconds,twampReportCurrentDelayMin,twampReportCurrentDelayMax,twampReportCurrentDelaySum,twampReportCurrentDelayAverage,twampReportCurrentDelayedPackets,twampReportCurrentPdvMax,twampReportCurrentIpdvMax,twampReportCurrentIpdvSum,twampReportCurrentIpdvValidResults,twampReportCurrentIpdvFwdMax,twampReportCurrentIpdvFwdSum,twampReportCurrentIpdvFwdValidResults,twampReportCurrentIpdvBckMax,twampReportCurrentIpdvBckSum,twampReportCurrentIpdvBckValidResults,twampReportCurrentReorderedFwd,twampReportCurrentReorderedBck,twampReportCurrentDuplicateFwd,twampReportCurrentDuplicateBck,twampReportCurrentFragmentedFwd,twampReportCurrentFragmentedBck,twampReportCurrentDelayFwdMin,twampReportCurrentDelayFwdMax,twampReportCurrentDelayFwdSum,twampReportCurrentDelayBckMin,twampReportCurrentDelayBckMax,twampReportCurrentDelayBckSum,twampReportCurrentDelayedPacketsFwd,twampReportCurrentDelayedPacketsBck,twampReportCurrentPdvMaxFwd,twampReportCurrentPdvMaxBck,twampReportCurrentTxPacketsFwd,twampReportCurrentTxPacketsBck,twampReportCurrentRxValidPacketsFwd,twampReportCurrentRxValidPacketsBck,twampReportCurrentLossPacketsFwd,twampReportCurrentLossPacketsBck,twampReportCurrentAvailableSecondsFwd,twampReportCurrentAvailableSecondsBck,twampReportCurrentRxSyncValidPacketsFwd,twampReportCurrentRxSyncValidPacketsBck,twampReportCurrentSyncSeconds,twampReportCurrentReordered,twampReportCurrentDuplicate
1,1,0x0A0A0A0B,1,0x07E6091D090F00062B0000,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,18446744073709551615,4294967295,4294967295,18446744073709551615,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,18446744073709551615,18446744073709551615,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: Just-Ended,Interval Length (Seconds): 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval State: About-To-Begin,Interval Length (Seconds): 180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnCpuUtilizationTable,1.3.6.1.4.1.164.6.2.65.2.1,2022/09/29 09:26:59 +00:00,9/29/2022 9:26,4471368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnCpuUtilizationCpuIdx,agnCpuUtilizationTaskIdx,agnCpuUtilizationMin,agnCpuUtilizationMax,agnCpuUtilizationAverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4294967294,10,55,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4294967295,0,100,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,Entry OID,Date And Time (Local),Date And Time (UTC),System Uptime (Seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memoryUsageTable,1.3.6.1.4.1.164.6.2.65.5.1,2022/09/29 09:26:59 +00:00,9/29/2022 9:26,4471368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
